Image_File,Range,Beat,Image_Quality,Tigers_In_Frame,Identified_ID,Color_Morph,Subspecies,Status,Match_Score,Detection_Confidence
tiger_382.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,Tiger_003,Orange_Standard,Bengal (medium stripe density — most likely in India),Recaptured Match,0.9545,0.7397
tiger_387.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,FILTERED,,,"Filtered — wrong class (COCO class 14, not a tiger proxy)",,0.7963
tiger_389.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,FILTERED,,,"Filtered — wrong class (COCO class 22, not a tiger proxy)",,0.8245
tiger_391.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,FILTERED,,,"Filtered — wrong class (COCO class 22, not a tiger proxy)",,0.4301
tiger_395.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,FILTERED,,,"Filtered — wrong class (COCO class 14, not a tiger proxy)",,0.5367
tiger_399.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,FILTERED,,,"Filtered — wrong class (COCO class 22, not a tiger proxy)",,0.639
tiger_4.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Unusable_Blurry,0,UNUSABLE,,,Rejected — Motion blur — Laplacian variance < 80.0,,
tiger_401.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,FILTERED,,,"Filtered — wrong class (COCO class 14, not a tiger proxy)",,0.7987
tiger_402.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,FILTERED,,,"Filtered — wrong class (COCO class 22, not a tiger proxy)",,0.7489
tiger_403.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,Tiger_044,Orange_Standard,Sumatran (high stripe density),Recaptured Match,1.0,0.9071
tiger_408.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,FILTERED,,,"Filtered — wrong class (COCO class 14, not a tiger proxy)",,0.6198
tiger_410.png,Sundarbans Tiger Reserve,Block-A / Sector-3,Clean,1,FILTERED,,,"Filtered — wrong class (COCO class 22, not a tiger proxy)",,0.4182
